ID,SAT,PP,GP,SED,OTD,IOS,RCO,PCO,INT
4a1A,6,5.5,5,6,6,4,2.2,2.25,5
4a1B,5.5,4.5,2,7,6,4,1.8,1.75,6
4a1C,6,5,4,5,6,4,1.8,2,3.5
4a1D,5,6,7,7,7,5,1,2,6.5
4b2A,2,2.5,5,3,5,4,1.2,3,5
4b2B,3,6,6,7,7,2,1,4.5,6
4b2C,5.5,5.5,5,5,6,5,2.2,2.25,5.5
4b2D,6,4,3,4,3,4,2.2,2.75,4.5
4c3A,5.5,4.5,6,6,6,6,1.4,1,4
4c3B,5,3,5,3,7,3,3.6,3.25,2.5
4c3C,3,3.5,5,4,4,4,1.8,1.25,5
4c3D,4.5,5.5,6,3,3,3,2,1,4
4d4A,6,4.5,5,5,5,3,2.8,5.25,4
4d4B,2,4.5,6,2,5,2,1,1.25,4
4d4C,7,5.5,4,4,6,7,1.6,4.75,5
4d4D,6,2,2,6,7,3,1.8,3.25,2.5
5a1A,6,6,2,6,6,3,3.8,5.25,4
5a1B,3.5,4.5,1,7,7,2,2,2.25,2.5
5a1C,5,2,2,5,5,2,1.6,2,2
5a1D,4.5,4,2,3,6,4,2.6,4.75,4.5
5b2A,4,5,4,4,5,5,1.6,2,6
5b2B,5.5,5.5,4,5,5,4,1.6,4.5,4
5b2C,4.5,3,5,4,5,5,2,3.75,3
5b2D,5,6,5,6,6,4,1.4,5,5.5
5c3A,6.5,4,5,6,6,5,2,4.5,4.5
5c3B,6,4.5,6,6,6,4,3.4,4.5,5.5
5c3C,5,5,5,4,5,2,2.6,5.75,4.5
5c3D,5.5,4,4,3,5,5,2.8,4,4.5
5d4A,5,3,2,5,7,4,1.2,1.5,1.5
5d4B,5.5,4.5,4,5,6,6,1.2,1,5
5d4C,4,4,5,2,3,3,1.8,2.5,5
5d4D,5,4.5,2,5,6,6,1.2,2.5,5
7a1A,6,5.5,5,5,5,3,2,2.5,4.5
7a1B,6.5,4,6,7,7,4,2,2,5
7a1C,6,5,3,5,6,3,1.8,3,4.5
7a1D,6,5.5,5,5,5,5,1.6,1.5,5
7b2A,6,7,3,7,7,3,2,3.25,6
7b2B,5.5,5.5,6,3,6,3,1.6,4.5,5.5
7b2C,6,4.5,3,3,4,4,2.2,3,4.5
7b2D,6.5,5,5,5,6,4,2,5,6
7c3A,5.5,5.5,3,5,5,2,1.4,2.5,5
7c3B,4,3.5,4,4,2,2,2,2,3
7c3C,7,5.5,5,6,6,4,3.2,5,6
7c3D,7,5,7,6,6,4,1.2,1.75,6
7d4A,5.5,6,7,5,6,6,2.2,4.75,7
7d4B,4.5,4,5,4,3,3,3,5,5
7d4C,5,5,5,6,7,4,2.8,5.75,5
7d4D,7,5,7,7,7,6,1,2.75,6.5
